40590	 Enemy projectiles are significantly slower, making it easier to avoid them.
39065	 Many player weapons arc aggressively towards targets, making aiming easier.
43370,43737,44656,45206	+5 Veils
43618,44340	, +1 <color=#ADFBF7>Affiliation: Bohemia
45318	-OR-
43675,44239,44547,45106,45385	0/10 Improvements Left
42776	14th Mar 1905
44223,45487	1500xp
44469,45311	500/1000 XP\n
42785	<style="descriptive">Select this prospect to claim it.</style>
38810	<style="descriptive">To complete this prospect, supply X more:</style>
44116	<style="ProspectOpportunity">An Opportunity!</style>
44557	A label name
38249	A label name:
38012,38799,42983	A street urchin\n\n
37847	A STREET URCHIN\nA STREET URCHIN
43375	aaaaaaa
41692	Adjust Difficulty
44058	Affiliation
40275	Ambition: Wealth\n
41745	Amniotic Crew Containment/Anti-Breach System
38888	An infernal beast of brass and steam! A midnight miracle
44217	Appearance
44952	Apply Changes
43712	Bank\n
38179	Body. It's the body text. With a bod-bod-bod and a bod-bod-bod. Bod.
43815,43816,44407,45349	Brake
42418	Bug report submitted!\nThank you.
44808	Butchery
37604,38834,40180,43777,44779,44833,45201,45207	Button
41702	Buying
44173	Buying\n
45263	Captain's Name
39694,42740	Carefully-Packed Crate of Munitions 
45266	Choose a skill to improve
39648	Claim Your Legacy
43559	Content
45129	Controller disconnected
43335,43796,44017,44604,45328	Cost: 1200xp
43811,43812,43813,44448,44449,44450,45034,45319	Cruise control
40144	Current\nProspects
44194	Details\nDetails\nDetails
44691,45409,45410,45411	Dodge left
43498,43580,43581,43582	Dodge right
43856,43857,43858,43859	Done
42828	Dr Random
44444	Enter name...
44040	Facets to Take:  <#FFFFFFB2>0</color>
41865,43219	Failure!
39271	For one last time, under the light of a non-existent moon, you bow before the Unseen Queen. She raises the Cup to her lips, and drinks the timeless remnants of the Golden Day.\r\n\r\nYou descend to your engine on a moonbeam. You collect the Minute to Midnight (gleaming and dark); the Cloak of the Lion (shimmering, resplendent); you say your final goodbyes to your crew. They scarcely recognise you. Silver light shines between the cracks in your skin.\r\n\r\nAnd you walk back up into the sky. You are already planning your first move in the war against death. \r\n\r\nStorm clouds envelop you. 
38129	For technical support please see our <u><link=https://steamcommunity.com/sharedfiles/filedetails/?id=1860884266>Troubleshooting Guide</link></u>.\n\nWhen you submit a report we also collect a copy of your save file, an output log with details about any errors or exceptions, and some system information, such as your operating system and screen resolution.\r\n\r\nAll data collected this way is anonymous and is only stored for 90 days (which gives us plenty of time to read and process it). Thank you – your reports and feedback help us to make Sunless Skies better.
44139,45226	Gain +5 <color=#ADFBF7>Veils<color=#FCF4DF>, +5 <color=#ADFBF7>Iron<color=#FCF4DF>, +1 <color=#ADFBF7>Affiliation: Villainy
43640	Gamepad Options
43551	Gamepad:
44250	Go to Title Screen
37495	Hallidges Bank
40731	Hallidges prides itslef 
39576	Header
43787,44014	Hearts
43596	Hearts Upgraded!
39496	Hello World\nHello World\nHello World
39304	Hello World\nHello World\nHello World\n
44632	Hello, <b><#FF8000>Gamertag</color></b>
45161	Here is where the AvailableAt text should go.
37687	Hide Advice
43468,43740,43924,44816,45439	Improve
43411,43966,44291,44924,45341	Improvement Available!
37387,43566,44105,44453,44962	Insufficient Exp
43768	Insufficient XP to Upgrade
43444,43725,43726,43727	Interact
45022	Iron
44317	Iron Upgraded!
41880	Item Name
40326,40637	Jettison
45202	Label
45414	label
43374,43623,44046,44301,45049	Limit Reached
38768,40288	Locomotive captains gather at the bazaar to trade goods and information. Here, you can acquire 'prospects': opportunities to sell a good at a distant port for an excellent price. Accept a prospect to claim it, source the goods, and delvier them.
38086	London
44155,44862	Lure
38737	Menu
44001,44209	Message text text text
39005,43231	Message Title
43646	Mirrors
44075	Mirrors Upgraded!
38948	Moloch-Class Liner
44023	Name
45033	Name and Appearance
43317,44192	Name your locomotive...
38314	Narrative Issue – Includes typos, story progression, journal inconsistencies.
43095	Naufragiste
37483	New bargains available in 7 days.
40998	New Text
42503	Nightingale Engine Yard
44171	Not all is lost
38218,38527,39215,39905	On
43166	One way to do it is to simply throw away Unity’s layout engine altogether, and only use their components for display/events. This is a perfectly valid way to go about it, and in fact is necessary if you want more control over how the animation is done. However, one of my main goals was to leverage Unity’s layout engine somehow.
40289	One way to do it is to simply throw away Unity’s layout.
44955,45113	Option
45020	Option A
43841	or
43455	Origin
39416,41668	Partial Success!
43400,43562,43563,43564	Pause
43322	Press      Button
43838,43839,43840,45063	Primary fire
37773	Prospect or Bargain
45486	quality
43081	Quality Title
43472,43473,43474,44196	Radial menu
45357	Random Avatar
44551	Random Name
45131	Reconnect a controller and press A to continue. 
42268	Region Description
39468	Region name
44018	Rename your Locomotive
44158	Requires:
43613	Restore Defaults
43485	Rewards:
37772	Schemes Schemes Schemes 
43433,43434,43435,43870	Secondary fire
41631,44341	Selling
43694,44925,44926,44927	Send Scout
39597	Shop
42202,44685	Shops
43349	Skill Improved!
43705	Something Awaits You
44514	Speed up <sprite name="key_w">    Back <sprite name="key_esc">
45356	Starting Stats
45297,45429,45430,45431	Steer
42249	Storage
40100,43689	Stories
39595	Submission Failed
38899	Submission Successful
42325	Submit or cancel bug report to unpause
45229	Term of Address
44273,45126	TEST
40057,42592	Testing testing
38082	TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTest\nTestTestTestTest\nTestTestTestTest\nTestTestTestTest\nTestTestTestTest
43405,44664	Text text text text Text text text text  Text text text text
38059	Texture Quality
43673	The high Wilderness claims another
44181	The judge, stony-faced, condemned you to New Newgate, the stalactite-prison of Old London. Its dark was thick as tar. Its cells were small as pantries. How did you spend your days there?
40848	The Nightingale Yard, the gleaming pride of Pan, endeavours to outdo all its rivals, whether mortal or stellar. Price should be the only barrier to quality craftsmanship.
45041	The skill of confronting and overpowering. 
44067	The skill of convincing and enduring.
44306	The skill of deceiving and evading.
43606	The skill of investigating and deducing.
38827,42823	The smoggy, clankingx The smoggy, clanking
41833	They'll take anything here; anything and everything. Though they especially like noodle soups. Man, they love their soups. All the different flavours.
42511	This difficulty
40915	This is headerline description
37591,38540,40977,42469	This is headerline description text
40033	This is placeholder text, this is placeholder text, this is placeholder text, this is placeholder text, this is placeholder text.
43179	This is standard message description text
37563,38026,38510	This is the body text. This is the body text. This is the body text. \n\nThis is the body text. This is the body text. This is the body text. 
44370	This will determine what people call your captain, but your captain's gender is up to you.
43817,44622,45347,45348	Thrust
43368,44660	Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. Tip description. \n\nTip description. Tip description. Tip description. 
43366	title
44117,44332,44333,44334	Toggle lights
38300	Trade for
42868	Unfortunately, we couldn't submit your report. It may be that there's a problem with your internet connection.\n\nIf you're definitely online, please try again later – thanks for taking the time to make a report, and sorry for the trouble.
43304,43843,44796,45216	Upgrade
43338	Use Gamepad:
44360	Veils
45070	Veils Upgraded!
44932	VERSION VERSION
37492,39059	Warning body, who knows how large this'll eventually become? 
45292	What did the winds of fate hold in store?
38790	When planning a journey, check your chart for Stations that sell Supplies and Fuel. Not all supply both.
44827	You Gained:
43371,43611,44051,44297,45055	You have advanced this skill to its uttermost limit.
43887	You have forseen your own death. It did not please you.
